id,query,answer
1,Pythonでリストの長さを取得する方法は？,len()関数を使います。
2,Dockerとは何ですか？,アプリケーションをコンテナとして分離・実行するための仮想化技術です。
3,HTMLでリンクを作成するタグは？,<a>タグを使用します。例：<a href="https://example.com">リンク</a>
4,Gitでコミット履歴を確認するコマンドは？,git log コマンドを使用します。
5,JavaScriptで変数を定義する方法は？,let、const、またはvarキーワードを使います。
6,SQLで全てのレコードを取得する文は？,SELECT * FROM テーブル名; です。
7,機械学習における過学習とは何ですか？,訓練データに過剰に適合し、未知のデータで性能が低下する状態です。
8,Linuxでカレントディレクトリを確認するコマンドは？,pwd コマンドを使います。
9,HTTPのGETとPOSTの違いは？,GETはデータ取得、POSTはデータ送信に使われます。
10,AIと機械学習の違いは？,AIは知的行動を模倣する広い概念で、機械学習はAIを実現するための手法の1つです。
